PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
SEB TEXTURE MAKER 150ML,Sebastain,"₹ 1,900.00","₹ 1,610.17",33051090,BTL-BOTTLES
SEB PENETRAITT COND 250ML,Sebastain,"₹ 2,250.00","₹ 1,906.78",33051090,BTL-BOTTLES
SEB HYDRE COND 250ML,Sebastain,"₹ 2,450.00","₹ 2,076.27",33059090,BTL-BOTTLES
SEB PENETRAITT SHMP 250ML,Sebastain,"₹ 1,950.00","₹ 1,652.54",33051090,BTL-BOTTLES
SEB RE-SHAPER 400ML,Sebastain,"₹ 2,100.00","₹ 1,779.66",33059050,BTL-BOTTLES
SEB MATTE PUTTY SOFT 75G ,Sebastain,"₹ 2,150.00","₹ 1,822.03",33059090,CAN-CANS
SEB HYDRE SHMP 250ML ,Sebastain,"₹ 2,000.00","₹ 1,694.92",33051090,BTL-BOTTLES
KP ME+ 8/7 LIGHT BLND BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 9/17 VERY LIGHT BLND ASH BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP 5/5 LIGHT BRWN MHGNY 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
IC COLOR 9/60 -60GMS ,Wella Professional,₹ 450.00,₹ 381.36,33059040,TUB-TUBES
KP ME+ 5/0 LIGHT BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 10/86 RICH NATURAL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 10/97 RICH NATURAL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 8/97 RICH NATURAL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 7/37 MEDIUM BLND GLDN BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 55/65 VIBRANT RED 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 8/73 LIGHT BLND BRWN GLD 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 12/0 SPECIAL BLND NTRL 60GM,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 5/41 VIBRANT RED 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WELLOXON PRFT ME+ 1.9% 1L,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
SP DIA SMOOTHEN COND 200ML  ,System Professional,"₹ 2,500.00","₹ 2,118.64",33059090,TUB-TUBES
SP DIA SMOOTHEN CND 200ML ,System Professional,"₹ 2,600.00","₹ 2,203.39",33059090,TUB-TUBES
KP ME+ 6/2 MATT DARK BLND 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WP INVIGO ENRICH SHMP 1000ML ,Wella Professional,"₹ 1,450.00","₹ 1,228.81",33051090,BTL-BOTTLES
WP EIMI SHAPE SHIFT 150ML ,Wella Professional,₹ 700.00,₹ 593.22,33059050,CAN-CANS
SEB DARK OIL COND 250ML ,Sebastain,"₹ 1,900.00","₹ 1,610.17",33059090,BTL-BOTTLES
KP ME+ 66/0 DARK BLND INT 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP ME+ 6/7 DARK BLND BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WELLAPLEX KIT 500ML,Wella Professional,"₹ 10,500.00","₹ 8,898.31",33059090,BTL-BOTTLES
KP ME+ 33/0 DARK BRWN INT 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SP DIA HYDRATE COND 200ML ,System Professional,"₹ 2,500.00","₹ 2,118.64",33059090,TUB-TUBES
SP DIA PURY SHAM-PEELING 150ML ,System Professional,"₹ 1,950.00","₹ 1,652.54",33059090,TUB-TUBES
KP ME+ 55/0 LIGHT BRWN INT 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP ME+ 44/0 MEDIUM BRWN INT 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP ME+ 66/46 DARK INT RED VLT 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WELLOXON PRFT ME+ 4% 1L,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
SP DIA REPAIR MSK 400ML,System Professional,"₹ 3,200.00","₹ 2,711.86",33059050,CAN-CANS
KP ME+ 66/02 PURE NATURAL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SEB DARK OIL SHMP 250ML ,Sebastain,"₹ 1,750.00","₹ 1,483.05",33059050,BTL-BOTTLES
SEB DARK OIL MASK150ML,Sebastain,"₹ 2,050.00","₹ 1,737.29",33059090,CAN-CANS
WP EIMI MISTIFY ME 300ML ,Wella Professional,₹ 700.00,₹ 593.22,33059040,BTL-BOTTLES
NL APRICOT AF 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL GLITTER 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
